,house_id,address,price,tax_assessed_price,bedrooms,bathrooms,living_sqft,lot_sqft,lot_unit,days_on_zillow,price_change,date_price_change,zestimate,rent_zestimate,home_status,home_type,non_owner_occupied,preforeclosure_auction,premier_builder,marketing_status,broker,country_currency,date_extracted
0,23818417,"1046 Dunham St SE, Grand Rapids, MI 49506",257000.0,173800.0,3.0,2.0,1260.0,4791.6,sqft,3,,,251900.0,2111.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Bellabay Realty LLC,$,2025-08-17
1,23809102,"38 S Bridgestone Ct NE, Grand Rapids, MI 49546",750000.0,690000.0,5.0,4.0,3901.0,1.17,acres,5,,,728700.0,4091.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Bellabay Realty (North),$,2025-08-17
2,23781687,"935 Pine Ave NW, Grand Rapids, MI 49504",329000.0,242600.0,5.0,2.0,2004.0,4791.6,sqft,4,,,324400.0,2468.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Five Star Real Estate (Eastown),$,2025-08-17
3,23860836,"1169 Griswold St SE, Grand Rapids, MI 49507",299900.0,241600.0,3.0,2.0,2123.0,6098.4,sqft,3,,,295800.0,2190.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Berkshire Hathaway HomeServices Michigan Real Estate (Main),$,2025-08-17
4,23795134,"2060 Swensberg Ave NE, Grand Rapids, MI 49505",349900.0,297800.0,5.0,3.0,1946.0,6969.6,sqft,4,,,344700.0,2934.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Reeds Realty,$,2025-08-17
5,23799895,"1461 Perkins Ave NE, Grand Rapids, MI 49505",699900.0,696800.0,4.0,3.0,3247.0,1.35,acres,2,,,690600.0,2817.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Bellabay Realty (North),$,2025-08-17
6,23880091,"1637 Laraway Lake Dr SE, Grand Rapids, MI 49546",449900.0,386000.0,5.0,3.0,2310.0,0.48,acres,25,-15000.0,2025-08-13,445400.0,3037.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,EXP Realty (Grand Rapids),$,2025-08-17
7,23803913,"400 Curtis St NE, Grand Rapids, MI 49505",309000.0,254800.0,3.0,2.0,2100.0,5227.2,sqft,3,,,301700.0,2058.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Coldwell Banker Schmidt Realtors,$,2025-08-17
8,23800910,"1832 Carlton Ave NE, Grand Rapids, MI 49505",299900.0,255600.0,3.0,2.0,1234.0,10018.8,sqft,2,,,299000.0,1992.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Five Star Real Estate (Eastown),$,2025-08-17
9,23820226,"909 Calvin Ave SE, Grand Rapids, MI 49506",499000.0,308000.0,4.0,3.0,2249.0,4791.6,sqft,3,,,485000.0,2646.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Maison Group Properties,$,2025-08-17
10,23800268,"1230 Worcester Dr NE, Grand Rapids, MI 49505",388700.0,289600.0,4.0,3.0,2161.0,9583.2,sqft,2,,,383400.0,2316.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Bellabay Realty (North),$,2025-08-17
