,house_id,address,price,tax_assessed_price,bedrooms,bathrooms,living_sqft,lot_sqft,lot_unit,days_on_zillow,price_change,date_price_change,zestimate,rent_zestimate,home_status,home_type,non_owner_occupied,preforeclosure_auction,premier_builder,marketing_status,broker,country_currency,date_extracted
0,79688327,"3864 W McGonigull St, Boise, ID 83703",1430000.0,952800.0,5.0,4.0,4672.0,1.07,acres,9,,,1366500.0,4742.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Boise Premier Real Estate,$,2025-08-17
1,79645584,"4646 S Lasso Ave, Boise, ID 83709",465000.0,378700.0,4.0,2.0,1724.0,8929.8,sqft,3,,,459600.0,2181.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Homes of Idaho,$,2025-08-17
2,72684428,"8904 W Canterbury St, Boise, ID 83704",469990.0,414700.0,5.0,2.0,2080.0,6098.4,sqft,3,,,464800.0,2550.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Finding 43 Real Estate,$,2025-08-17
3,72681965,"2616 W Malad St, Boise, ID 83705",480000.0,416500.0,4.0,2.0,2112.0,6969.6,sqft,3,,,474700.0,2344.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Silvercreek Realty Group,$,2025-08-17
4,79483768,"5415 N Mitchell St, Boise, ID 83704",399000.0,386500.0,4.0,2.0,2436.0,0.26,acres,7,,,401000.0,2437.0,FOR_SALE,SINGLE_FAMILY,True,False,False,Non Owner Occupied,Corbett Real Estate Auctions,$,2025-08-17
5,79692341,"11926 W Arch St, Boise, ID 83713",429900.0,311600.0,4.0,2.0,1568.0,7405.2,sqft,4,,,426800.0,2314.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Marathon Realty of Idaho,$,2025-08-17
6,249554341,"4866 N Corralero Ln, Boise, ID 83702",1498000.0,1211600.0,4.0,3.0,2954.0,0.485,acres,19,,,,,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty Boise,$,2025-08-17
7,331637975,"10091 W Campville St, Boise, ID 83709",410000.0,363500.0,3.0,3.0,1547.0,3659.04,sqft,3,,,408600.0,2200.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,THG Real Estate,$,2025-08-17
8,79618696,"6750 W Hill Rd, Boise, ID 83714",299000.0,420600.0,3.0,2.0,2464.0,1.5,acres,7,,,300500.0,1976.0,FOR_SALE,SINGLE_FAMILY,True,False,False,Non Owner Occupied,Corbett Real Estate Auctions,$,2025-08-17
9,72685807,"7756 N Basin Way, Boise, ID 83714",1649500.0,986400.0,4.0,4.0,3748.0,5.0,acres,6,,,1625400.0,4822.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Silvercreek Realty Group,$,2025-08-17
10,79593648,"4850 N Bluegrass Ave, Boise, ID 83703",429990.0,326300.0,3.0,2.0,1041.0,6969.6,sqft,10,-10000.0,2025-08-12,,1795.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty Boise,$,2025-08-17
11,79691907,"7956 W Thunder Mountain Dr, Boise, ID 83709",599900.0,546800.0,4.0,3.0,2334.0,0.32,acres,2,,,591700.0,2632.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Templeton Real Estate Group,$,2025-08-17
12,455916023,"6830/6828 W Kirkwood Dr, Boise, ID 83709",449900.0,,4.0,2.0,2236.0,10018.8,sqft,4,,,,,FOR_SALE,MULTI_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty Boise,$,2025-08-17
13,79626375,"1601 N 8th St, Boise, ID 83702",650000.0,640000.0,3.0,2.0,1980.0,4356.0,sqft,5,,,,,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty Boise,$,2025-08-17
14,79686199,"4770 N Johns Landing Way, Boise, ID 83703",495000.0,441000.0,3.0,2.0,1643.0,8712.0,sqft,2,,,483100.0,2431.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty Boise,$,2025-08-17
15,124753539,"2813 E Hard Rock Dr, Boise, ID 83712",3970000.0,1861500.0,4.0,5.0,4740.0,1.25,acres,2,,,3745100.0,7761.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Amherst Madison,$,2025-08-17
16,79650500,"1712 N 14th St, Boise, ID 83702",998000.0,748700.0,4.0,3.0,2044.0,6098.4,sqft,9,,,,,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty Boise,$,2025-08-17
17,79679272,"5239 E Quarterpath Dr, Boise, ID 83716",1098000.0,988500.0,5.0,4.0,3140.0,0.251,acres,2,,,,,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty Boise,$,2025-08-17
18,79606582,"11473 W Colony St, Boise, ID 83709",695000.0,538000.0,4.0,3.0,2342.0,0.25,acres,1,,,683100.0,2961.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Silvercreek Realty Group,$,2025-08-17
19,79671383,"10326 W Stardust Dr, Boise, ID 83709",889900.0,673800.0,4.0,5.0,3709.0,0.842,acres,3,,,857700.0,4230.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Swope Investment Properties,$,2025-08-17
20,79603855,"9401 W Knottingham Dr, Boise, ID 83704",679900.0,505100.0,4.0,3.0,2509.0,10759.32,sqft,1,,,663200.0,2837.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty Boise,$,2025-08-17
21,79662164,"1005 N 12th St, Boise, ID 83702",1079000.0,805100.0,5.0,2.0,2603.0,5227.2,sqft,2,,,1049100.0,3018.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Silvercreek Realty Group,$,2025-08-17
22,79668764,"11160 W Hickory Dale Dr, Boise, ID 83713",775000.0,688800.0,5.0,4.0,3397.0,0.29,acres,1,,,763800.0,3768.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,"FLX Real Estate, LLC",$,2025-08-17
23,79671973,"2101 N Allumbaugh St, Boise, ID 83704",425000.0,207300.0,4.0,3.0,2010.0,9147.6,sqft,2,,,,2529.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Epique Realty,$,2025-08-17
24,79654722,"4524 N Elgin Way, Boise, ID 83713",369900.0,425700.0,4.0,3.0,2058.0,6969.6,sqft,1,,,367500.0,2533.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,208 Real Estate,$,2025-08-17
25,79633658,"2726 N 29th St, Boise, ID 83703",689000.0,569200.0,3.0,3.0,1610.0,6098.4,sqft,2,,,675600.0,2453.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Silvercreek Realty Group,$,2025-08-17
26,79594470,"4508 N Anchor Way, Boise, ID 83703",524900.0,437700.0,3.0,2.0,1650.0,9583.2,sqft,3,,,512100.0,2465.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,RE/MAX Executives,$,2025-08-17
27,79617310,"6428 S Mangrove Pl, Boise, ID 83716",599000.0,531400.0,3.0,3.0,2162.0,9191.16,sqft,2,,,585900.0,2709.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Amherst Madison,$,2025-08-17
28,79687005,"549 S Victoria Dr, Boise, ID 83705",419900.0,298700.0,3.0,2.0,1119.0,4051.08,sqft,16,,,415500.0,2090.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty Boise,$,2025-08-17
29,79646980,"9161 W Susan St, Boise, ID 83704",399999.0,349800.0,3.0,2.0,1104.0,9147.6,sqft,2,,,395800.0,1998.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,208 properties Realty Group,$,2025-08-17
30,79680241,"3395 S Holden Ave, Boise, ID 83706",458400.0,413100.0,3.0,2.0,1368.0,6969.6,sqft,9,,,448400.0,2433.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty Boise,$,2025-08-17
31,79656244,"996 E Riverpark Ln, Boise, ID 83706",559000.0,415200.0,2.0,2.0,1333.0,0.0,sqft,2,,,549800.0,2066.0,FOR_SALE,CONDO,True,False,False,For Sale by Agent,Templeton Real Estate Group,$,2025-08-17
32,79646027,"1814 W Suncrest Dr, Boise, ID 83705",549900.0,452700.0,5.0,2.0,2304.0,10454.4,sqft,8,-8000.0,2025-08-15,545500.0,2807.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Atova,$,2025-08-17
