,house_id,address,price,tax_assessed_price,bedrooms,bathrooms,living_sqft,lot_sqft,lot_unit,days_on_zillow,price_change,date_price_change,zestimate,rent_zestimate,home_status,home_type,non_owner_occupied,preforeclosure_auction,premier_builder,marketing_status,broker,country_currency,date_extracted
23,86443825,"230 S Johnson St, Harrisburg, PA 17112",199000.0,53600.0,3.0,2.0,1002.0,5227.2,sqft,81,,,199700.0,1675.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Prime Realty Services,$,2025-08-17
24,455975612,"7779 Hanoverdale Dr, Harrisburg, PA 17112",330000.0,,2.0,2.0,1420.0,4792.0,sqft,2,,,,,FOR_SALE,TOWNHOUSE,True,False,False,For Sale by Agent,"For Sale By Owner Plus, REALTORS",$,2025-08-17
25,86447185,"841 Scenery Pl, Harrisburg, PA 17109",225000.0,84700.0,3.0,2.0,1884.0,0.26000918273645546,acres,10,,,,,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Keystone Realty,$,2025-08-17
26,2081741356,"2046 Market St, Harrisburg, PA 17103",149900.0,,8.0,3.0,2939.0,5227.0,sqft,68,,,,1442.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Prime Realty Services,$,2025-08-17
27,86470347,"1504 Pelham Rd, Harrisburg, PA 17110",399900.0,137700.0,4.0,3.0,3600.0,0.46999540863177225,acres,0,,,413900.0,2671.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Coldwell Banker Realty,$,2025-08-17
28,86483940,"6957 Fishing Creek Valley Rd, Harrisburg, PA 17112",220000.0,61700.0,3.0,1.0,600.0,2.1,acres,3,,,,1442.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Coldwell Banker Realty,$,2025-08-17
29,86416302,"3134 N 6th St, Harrisburg, PA 17110",75000.0,44700.0,3.0,2.0,1836.0,1742.0,sqft,5,,,,1464.0,FOR_SALE,TOWNHOUSE,True,False,False,For Sale by Agent,Coldwell Banker Realty,$,2025-08-17
30,86477504,"7981 Chambers Hill Rd, Harrisburg, PA 17111",395000.0,87400.0,3.0,2.0,1540.0,0.3,acres,2,,,,,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Coldwell Banker Realty,$,2025-08-17
31,86439162,"5865 Fox St, Harrisburg, PA 17112",449000.0,220300.0,4.0,3.0,3045.0,0.25,acres,8,,,449400.0,2581.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Coldwell Banker Realty,$,2025-08-17
32,86471770,"3501 Athena Ave, Harrisburg, PA 17110",339900.0,126200.0,4.0,3.0,2576.0,0.3399908172635445,acres,2,,,338000.0,1937.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Elite,$,2025-08-17
33,303859863,"736 S 25th St, Harrisburg, PA 17111",101000.0,48700.0,1.0,1.0,893.0,871.2,sqft,5,,,100500.0,1059.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Berkshire Hathaway HomeServices Homesale Realty,$,2025-08-17
34,2100507515,"407 North Front Street, Harrisburg, PA 17101",1395000.0,,10.0,6.0,11800.0,5663.0,sqft,198,,,,3126.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Howard Hanna Company-Harrisburg,$,2025-08-17
35,86437209,"359 Deaven Rd, Harrisburg, PA 17111",450000.0,241500.0,4.0,3.0,2388.0,0.28000459136822775,acres,16,-10000.0,2025-08-15,,,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Iron Valley Real Estate of Central PA,$,2025-08-17
36,151797064,"226 Charles St, Harrisburg, PA 17102",234900.0,74100.0,3.0,3.0,2016.0,1742.0,sqft,31,-9100.0,2025-08-13,233700.0,2214.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,"RSR, REALTORS, LLC",$,2025-08-17
37,86450187,"201 Village Rd, Harrisburg, PA 17112",255000.0,106300.0,3.0,2.0,1048.0,0.5100091827364555,acres,80,-10000.0,2025-07-28,,2044.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Real of Pennsylvania,$,2025-08-17
38,86450387,"6482 Heatherfield Way, Harrisburg, PA 17112",335000.0,123000.0,5.0,3.0,2112.0,10019.0,sqft,3,,,304500.0,1865.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Keller Williams Realty,$,2025-08-17
39,86413672,"1917 Swatara St, Harrisburg, PA 17104",180000.0,25700.0,4.0,2.0,1244.0,1500.0,sqft,32,-5000.0,2025-08-08,178200.0,1622.0,FOR_SALE,SINGLE_FAMILY,True,False,False,For Sale by Agent,Iron Valley Real Estate of Central PA,$,2025-08-17
40,86479436,"1150 Terry Dr, Steelton, PA 17113",224900.0,107600.0,3.0,2.0,1530.0,0.43999081726354455,acres,9,,,248400.0,1732.0,FOR_SALE,SINGLE_FAMILY,True,False,False,Coming Soon,Berkshire Hathaway HomeServices Homesale Realty,$,2025-08-17
